d2c0ga2;100;14.3;100;55.6;100;100;45;100;100;50;100;100;50;100;28.6;41.7;58.3;50;100;54.2;100;52.4;56.5;28.6;0;28.6;44.4;33.3;100;40;65;100;100;50;100;100;100;45.4
d1oaza_;100;16.7;100;25;100;100;100;100;100;100;100;28.6;42.1;26.7;100;100;100;54.2;100;100;37.5;55.3;42.9;61.2;0;49.1;100;100;100;47.4;46;100;100;49;54.2;52;100;38.3
d2a2pa1;100;100;100;100;100;64.8;33.3;22.2;100;46.7;61.9;100;100;57.1;100;100;100;0;44.4;100;44.4;55.6;42.9;100;50;100;45.4;50;100;100;16.7;0;63;0;0;53.6;100;16.7
d1meka_;33.3;56.2;100;59.4;56.8;61.1;100;67.6;42.9;56.8;43.8;30;39.4;61.3;28.6;52;30.8;14.3;100;25;42.1;46.2;16.7;53;49.1;0;100;100;100;48.8;48.5;100;100;56.5;55.6;46.2;60.9;41.1
d2b5ea4;100;22.2;100;33.3;45.2;54.6;0;44.4;33.3;100;100;16.7;100;100;100;44.8;44.4;100;100;50;45;22.2;100;53;48;37.7;100;40;100;49.4;35.7;100;36.4;57.1;100;50;51.7;44.9
d1a8ya3;100;100;33.3;100;55.6;42.9;100;100;33.3;100;53.3;57.8;100;100;54.2;100;40;100;100;25;16.7;50;48;100;100;100;0;100;100;43.5;100;46.2;51.8;100;100;100;100;100
d1woua_;56.2;36.4;100;100;53.8;28.6;66.7;33.3;44;100;100;45.4;28.6;100;41.7;100;100;100;100;100;14.3;53.3;0;42.9;61.1;100;0;51.4;100;50;50;100;100;44.4;100;64.6;57.9;67.9
d2es7a1;0;56.2;100;30;100;100;0;100;100;20;56.2;33.3;55;100;62.5;16.7;53.8;0;53.1;22.2;41.2;100;52.9;100;57.4;100;100;33.3;35.3;56.2;100;100;100;37.5;44.4;100;100;50
d1a8la1;100;42.9;100;38.5;100;100;65.3;48;16.7;100;16.7;62.8;100;0;100;38.5;100;100;100;61.2;100;100;100;22.2;60;100;33.3;100;100;57.1;52.9;100;100;64.1;100;51.7;34.3;66.7
d1j08a1;100;57.1;50;38.5;100;100;65.3;50;16.7;60.7;16.7;65;100;0;100;38.5;100;100;100;60.5;100;100;100;22.2;52.9;100;38.5;100;100;53.2;100;100;100;46.7;100;53.3;34.3;66.7
d2fwha1;50;100;100;100;100;51.5;100;62.8;100;51.5;100;16.7;51.5;100;65.5;100;57.1;100;100;100;50;56.6;52.5;18.2;55.1;59.3;57.1;100;100;52.9;31.2;100;0;60.5;25;48.9;100;55.4
d2a4ha1;41.7;100;100;37.5;42.9;100;16.7;33.3;100;44.4;37.5;37.5;100;100;50;100;100;100;100;100;43.3;33.3;63.6;68;100;100;100;0;100;100;100;33.3;22.2;33.3;100;100;100;22.2
d2djja1;35.3;100;100;100;16.7;16.7;100;100;43.5;100;100;41.7;100;100;100;100;100;100;100;100;45.4;33.3;100;44.1;53.1;40.5;100;100;100;52;52.2;67.9;62.5;33.3;100;33.3;59.3;41.7
d1zmaa1;40;53.6;100;100;25;100;100;0;50;20;100;48;36.4;100;100;100;30;100;59;100;0;100;22.2;100;16.7;60.7;100;100;38.5;47.5;53.3;40;100;100;0;100;47.2;56.7
